Tarih,Ürün,Avrupa Birliği Birimi,AB Piyasa Fiyatı,AB Piyasa Fiyatı- Yüksek,AB Piyasa Fiyatı- Düşük,Dolar Kuru (Satış)
2022-11-28,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,931.25,931.5,931.0,18.6404
2022-11-27,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,961.25,961.5,961.0,18.6406
2022-11-26,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,961.25,961.5,961.0,18.6406
2022-11-25,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,961.25,961.5,961.0,18.6406
2022-11-24,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,973.5,973.75,973.25,18.638
2022-11-23,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,981.0,981.25,980.75,18.6397
2022-11-22,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1004.0,1004.25,1003.75,18.6369
2022-11-21,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,978.25,978.5,978.0,18.6314
2022-11-20,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1008.25,1008.5,1008.0,18.628
2022-11-19,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1008.25,1008.5,1008.0,18.628
2022-11-18,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1008.25,1008.5,1008.0,18.628
2022-11-17,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1020.0,1020.25,1019.75,18.6294
2022-11-16,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1057.5,1057.75,1057.25,18.6251
2022-11-15,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1056.5,1056.75,1056.25,18.6199
2022-11-14,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1063.5,1063.75,1063.25,18.6153
2022-11-13,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1058.5,1058.75,1058.25,18.5448
2022-11-12,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1058.5,1058.75,1058.25,18.5448
2022-11-11,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1058.5,1058.75,1058.25,18.5448
2022-11-10,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1052.75,1053.0,1052.5,18.6127
2022-11-09,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1074.0,1074.25,1073.75,18.6126
2022-11-08,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1120.25,1120.5,1120.0,18.6138
2022-11-07,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1140.75,1141.0,1140.5,18.6168
2022-11-06,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1158.25,1158.5,1158.0,18.6271
2022-11-05,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1158.25,1158.5,1158.0,18.6271
2022-11-04,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1158.25,1158.5,1158.0,18.6271
2022-11-03,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1150.0,1150.25,1149.75,18.6307
2022-11-02,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1102.0,1102.25,1101.75,18.6316
2022-11-01,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1082.75,1083.0,1082.5,18.6291
2022-10-31,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1114.75,1115.0,1114.5,18.625
2022-10-30,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1142.75,1143.0,1142.5,18.6215
2022-10-29,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1142.75,1143.0,1142.5,18.6215
2022-10-28,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1142.75,1143.0,1142.5,18.6215
2022-10-27,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1130.5,1130.75,1130.25,18.6215
2022-10-26,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1130.75,1131.0,1130.5,18.6199
2022-10-25,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1111.0,1111.25,1110.75,18.616
2022-10-24,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1133.5,1133.75,1133.25,18.6165
2022-10-23,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1107.75,1108.0,1107.5,18.6076
2022-10-22,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1107.75,1108.0,1107.5,18.6076
2022-10-21,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1107.75,1108.0,1107.5,18.6076
2022-10-20,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1136.25,1136.5,1136.0,18.6021
2022-10-19,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1134.5,1134.75,1134.25,18.5996
2022-10-18,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1166.0,1166.25,1165.75,18.5998
2022-10-17,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1178.75,1179.0,1178.5,18.5997
2022-10-16,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1161.75,1162.0,1161.5,18.593
2022-10-15,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1161.75,1162.0,1161.5,18.593
2022-10-14,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1161.75,1162.0,1161.5,18.593
2022-10-13,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1191.5,1191.75,1191.25,18.5991
2022-10-12,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1174.0,1174.25,1173.75,18.5999
2022-10-11,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1140.25,1140.5,1140.0,18.5949
2022-10-10,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1225.5,1225.75,1225.25,18.5915
2022-10-09,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1250.75,1251.0,1250.5,18.5927
2022-10-08,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1250.75,1251.0,1250.5,18.5927
2022-10-07,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1250.75,1251.0,1250.5,18.5927
2022-10-06,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1192.0,1192.25,1191.75,18.5923
2022-10-05,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1179.5,1179.75,1179.25,18.5885
2022-10-04,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1101.0,1101.25,1100.75,18.5781
2022-10-03,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1029.25,1029.5,1029.0,18.5731
2022-10-02,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1009.0,1009.25,1008.75,18.5521
2022-10-01,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1009.0,1009.25,1008.75,18.5521
2022-09-30,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1009.0,1009.25,1008.75,18.5521
2022-09-29,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1025.75,1026.0,1025.5,18.5371
2022-09-28,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1029.25,1029.5,1029.0,18.5195
2022-09-27,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,991.5,991.75,991.25,18.4842
2022-09-26,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,959.25,959.5,959.0,18.4598
2022-09-25,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,998.25,998.5,998.0,18.4033
2022-09-24,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,998.25,998.5,998.0,18.4033
2022-09-23,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,998.25,998.5,998.0,18.4033
2022-09-22,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1027.0,1027.25,1026.75,18.3732
2022-09-21,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,999.0,999.25,998.75,18.3279
2022-09-20,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1006.5,1006.75,1006.25,18.3115
2022-09-19,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,987.75,988.0,987.5,18.2987
2022-09-18,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,987.75,988.0,987.5,18.2802
2022-09-17,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,987.75,988.0,987.5,18.2802
2022-09-16,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,987.75,988.0,987.5,18.2802
2022-09-15,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,963.5,963.75,963.25,18.2755
2022-09-14,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1021.5,1021.75,1021.25,18.2649
2022-09-13,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1082.25,1082.5,1082.0,18.2533
2022-09-12,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1120.0,1120.25,1119.75,18.2515
2022-09-11,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1090.75,1091.0,1090.5,18.2517
2022-09-10,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1090.75,1091.0,1090.5,18.2517
2022-09-09,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1090.75,1091.0,1090.5,18.2517
2022-09-08,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1068.0,1068.25,1067.75,18.2523
2022-09-07,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1092.5,1092.75,1092.25,18.2468
2022-09-06,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1083.25,1083.5,1083.0,18.2376
2022-09-05,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1143.5,1143.75,1143.25,18.2378
2022-09-04,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1103.0,1103.25,1102.75,18.2337
2022-09-03,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1103.0,1103.25,1102.75,18.2337
2022-09-02,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1103.0,1103.25,1102.75,18.2337
2022-09-01,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1067.75,1068.0,1067.5,18.2132
2022-08-31,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1113.5,1113.75,1113.25,18.2031
2022-08-30,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1133.5,1133.75,1133.25,18.1975
2022-08-29,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1209.0,1209.25,1208.75,18.1975
2022-08-28,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1209.0,1209.25,1208.75,18.1892
2022-08-27,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1209.0,1209.25,1208.75,18.1892
2022-08-26,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1209.0,1209.25,1208.75,18.1892
2022-08-25,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1199.0,1199.25,1198.75,18.1793
2022-08-24,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1200.25,1200.5,1200.0,18.1503
2022-08-23,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1155.25,1155.5,1155.0,18.1345
2022-08-22,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1138.0,1138.25,1137.75,18.1314
2022-08-21,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1127.5,1127.75,1127.25,18.1093
2022-08-20,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1127.5,1127.75,1127.25,18.1093
2022-08-19,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1127.5,1127.75,1127.25,18.1093
2022-08-18,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1113.0,1113.25,1112.75,18.0011
2022-08-17,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1082.25,1082.5,1082.0,17.9735
2022-08-16,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1057.5,1057.75,1057.25,17.9744
2022-08-15,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1059.0,1059.25,1058.75,17.9734
2022-08-14,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1084.25,1084.5,1084.0,17.9689
2022-08-13,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1084.25,1084.5,1084.0,17.9689
2022-08-12,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1084.25,1084.5,1084.0,17.9689
2022-08-11,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1059.75,1060.0,1059.5,17.9679
2022-08-10,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1018.25,1018.5,1018.0,17.9631
2022-08-09,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1017.0,1017.25,1016.75,17.9642
2022-08-08,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,973.0,973.25,972.75,17.9716
2022-08-07,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1008.75,1009.0,1008.5,17.9685
2022-08-06,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1008.75,1009.0,1008.5,17.9685
2022-08-05,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1008.75,1009.0,1008.5,17.9685
2022-08-04,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1026.75,1027.0,1026.5,17.9673
2022-08-03,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1055.25,1055.5,1055.0,17.9681
2022-08-02,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1028.5,1028.75,1028.25,17.965
2022-08-01,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1031.0,1031.25,1030.75,17.9577
2022-07-31,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1114.75,1115.0,1114.5,17.9261
2022-07-30,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1114.75,1115.0,1114.5,17.9261
2022-07-29,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1114.75,1115.0,1114.5,17.9261
2022-07-28,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1120.5,1120.75,1120.25,17.9367
2022-07-27,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1129.5,1129.75,1129.25,17.9023
2022-07-26,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1099.75,1100.0,1099.5,17.8656
2022-07-25,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1086.0,1086.25,1085.75,17.8331
2022-07-24,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1102.25,1102.5,1102.0,17.7429
2022-07-23,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1102.25,1102.5,1102.0,17.7429
2022-07-22,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1102.25,1102.5,1102.0,17.7429
2022-07-21,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1066.25,1066.5,1066.0,17.6599
2022-07-20,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1125.5,1125.75,1125.25,17.5922
2022-07-19,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1137.0,1137.25,1136.75,17.5741
2022-07-18,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1178.75,1179.0,1178.5,17.495
2022-07-17,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1193.25,1193.5,1193.0,17.4896
2022-07-16,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1193.25,1193.5,1193.0,17.4896
2022-07-15,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1193.25,1193.5,1193.0,17.4896
2022-07-14,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1150.25,1150.5,1150.0,17.4896
2022-07-13,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1180.5,1180.75,1180.25,17.4226
2022-07-12,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1165.75,1166.0,1165.5,17.2912
2022-07-11,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1207.25,1207.5,1207.0,17.2912
2022-07-10,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1177.0,1177.25,1176.75,17.2912
2022-07-09,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1177.0,1177.25,1176.75,17.2912
2022-07-08,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1177.0,1177.25,1176.75,17.2912
2022-07-07,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1182.5,1182.75,1182.25,17.2912
2022-07-06,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1142.5,1142.75,1142.25,17.2128
2022-07-05,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1221.25,1221.5,1221.0,16.9674
2022-07-04,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1311.5,1311.75,1311.25,16.8237
2022-07-03,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1298.25,1298.5,1298.0,16.7456
2022-07-02,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1298.25,1298.5,1298.0,16.7456
2022-07-01,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1298.25,1298.5,1298.0,16.7456
2022-06-30,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1232.75,1233.0,1232.5,16.6914
2022-06-29,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1299.75,1300.0,1299.5,16.6991
2022-06-28,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1302.5,1302.75,1302.25,16.6488
2022-06-27,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1349.0,1349.25,1348.75,16.676
2022-06-26,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1388.75,1389.0,1388.5,17.3791
2022-06-25,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1388.75,1389.0,1388.5,17.3791
2022-06-24,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1388.75,1389.0,1388.5,17.3791
2022-06-23,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1379.75,1380.0,1379.5,17.3782
2022-06-22,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1374.5,1374.75,1374.25,17.3613
2022-06-21,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1409.0,1409.25,1408.75,17.348
2022-06-20,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1408.75,1409.0,1408.5,17.3425
2022-06-19,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1394.25,1394.5,1394.0,17.3216
2022-06-18,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1394.25,1394.5,1394.0,17.3216
2022-06-17,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1394.25,1394.5,1394.0,17.3216
2022-06-16,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1412.75,1413.0,1412.5,17.3191
2022-06-15,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1440.75,1441.0,1440.5,17.2879
2022-06-14,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1398.0,1398.25,1397.75,17.2653
2022-06-13,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1369.25,1369.5,1369.0,17.2654
2022-06-12,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1387.5,1387.75,1387.25,17.0896
2022-06-11,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1387.5,1387.75,1387.25,17.0896
2022-06-10,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1387.5,1387.75,1387.25,17.0896
2022-06-09,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1407.75,1408.0,1407.5,17.2295
2022-06-08,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1365.25,1365.5,1365.0,17.1232
2022-06-07,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1369.75,1370.0,1369.5,16.7385
2022-06-06,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1381.25,1381.5,1381.0,16.5887
2022-06-05,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1308.25,1308.5,1308.0,16.5062
2022-06-04,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1308.25,1308.5,1308.0,16.5062
2022-06-03,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1308.25,1308.5,1308.0,16.5062
2022-06-02,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1308.25,1308.5,1308.0,16.4686
2022-06-01,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1308.25,1308.5,1308.0,16.4423
2022-05-31,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1282.25,1282.5,1282.0,16.4171
2022-05-30,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1234.5,1234.75,1234.25,16.3857
2022-05-29,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1204.75,1205.0,1204.5,16.3773
2022-05-28,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1204.75,1205.0,1204.5,16.3773
2022-05-27,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1204.75,1205.0,1204.5,16.3773
2022-05-26,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1196.25,1196.5,1196.0,16.3975
2022-05-25,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1146.5,1146.75,1146.25,16.2963
2022-05-24,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1130.75,1131.0,1130.5,16.1135
2022-05-23,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1111.0,1111.25,1110.75,15.878
2022-05-22,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1104.75,1105.0,1104.5,15.9536
2022-05-21,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1104.75,1105.0,1104.5,15.9536
2022-05-20,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1104.75,1105.0,1104.5,15.9536
2022-05-19,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1083.25,1083.5,1083.0,15.9492
2022-05-18,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1087.0,1087.25,1086.75,15.9492
2022-05-17,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1127.75,1128.0,1127.5,15.8171
2022-05-16,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1130.5,1130.75,1130.25,15.5919
2022-05-15,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1142.75,1143.0,1142.5,15.4656
2022-05-14,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1142.75,1143.0,1142.5,15.4656
2022-05-13,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1142.75,1143.0,1142.5,15.4656
2022-05-12,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1112.75,1113.0,1112.5,15.3802
2022-05-11,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1154.0,1154.25,1153.75,15.3157
2022-05-10,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1109.75,1110.0,1109.5,15.2199
2022-05-09,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1111.5,1111.75,1111.25,15.001
2022-05-08,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1161.5,1161.75,1161.25,14.9247
2022-05-07,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1161.5,1161.75,1161.25,14.9247
2022-05-06,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1161.5,1161.75,1161.25,14.9247
2022-05-05,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1194.75,1195.0,1194.5,14.858
2022-05-04,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1192.25,1192.5,1192.0,14.8118
2022-05-03,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1183.25,1183.5,1183.0,14.8118
2022-05-02,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1231.0,1231.25,1230.75,14.8118
2022-05-01,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1231.0,1231.25,1230.75,14.8118
2022-04-30,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1231.0,1231.25,1230.75,14.8118
2022-04-29,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1231.0,1231.25,1230.75,14.8118
2022-04-28,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1199.25,1199.5,1199.0,14.8064
2022-04-27,10 ppm ULSD CIF Med (Genova/Lavera),$/TON,1181.0,1181.25,1180.75,14.8229
