Yıl,Tarih,USD ALIŞ,USD SATIŞ,EUR ALIŞ,EUR SATIŞ,GBP ALIŞ,GBP SATIŞ
2018,2018-04-30,4.0535,4.0608,4.8961,4.9049,5.5937,5.6229
2018,2018-05-01,,,,,,
2018,2018-05-02,4.0399,4.0472,4.8917,4.9005,5.5413,5.5702
2018,2018-05-03,4.1208,4.1282,4.9472,4.9561,5.6103,5.6395
2018,2018-05-04,4.1908,4.1984,5.0243,5.0333,5.6888,5.7185
2018,2018-05-05,,,,,,
2018,2018-05-06,,,,,,
2018,2018-05-07,4.255,4.2626,5.0911,5.1003,5.76,5.79
2018,2018-05-08,4.2558,4.2635,5.0746,5.0838,5.7504,5.7804
2018,2018-05-09,4.2817,4.2894,5.092,5.1012,5.7816,5.8118
2018,2018-05-10,4.2878,4.2955,5.0834,5.0925,5.7972,5.8274
2018,2018-05-11,4.2666,4.2743,5.0668,5.076,5.7763,5.8064
2018,2018-05-12,,,,,,
2018,2018-05-13,,,,,,
2018,2018-05-14,4.2572,4.2648,5.0757,5.0848,5.7554,5.7854
2018,2018-05-15,4.32,4.3278,5.1741,5.1834,5.8568,5.8873
2018,2018-05-16,4.3945,4.4024,5.2365,5.246,5.9387,5.9697
2018,2018-05-17,4.4581,4.4662,5.2687,5.2782,6.0032,6.0345
2018,2018-05-18,4.4402,4.4482,5.2412,5.2507,5.9901,6.0213
2018,2018-05-19,,,,,,
2018,2018-05-20,,,,,,
2018,2018-05-21,4.4652,4.4732,5.2674,5.2769,6.0163,6.0477
2018,2018-05-22,4.5534,4.5616,5.3469,5.3566,6.0957,6.1275
2018,2018-05-23,4.5781,4.5863,5.4043,5.4141,6.1485,6.1805
2018,2018-05-24,4.8464,4.8551,5.6817,5.692,6.4638,6.4975
2018,2018-05-25,4.7028,4.7112,5.5133,5.5233,6.2859,6.3186
2018,2018-05-26,,,,,,
2018,2018-05-27,,,,,,
2018,2018-05-28,4.7207,4.7292,5.524,5.5339,6.291,6.3238
2018,2018-05-29,4.5966,4.6048,5.3665,5.3761,6.1144,6.1463
2018,2018-05-30,4.5962,4.6045,5.3127,5.3222,6.0815,6.1132
2018,2018-05-31,4.4834,4.4914,5.2064,5.2158,5.9433,5.9743
2018,2018-06-01,4.4808,4.4889,5.2431,5.2525,5.9635,5.9946
2018,2018-06-02,,,,,,
2018,2018-06-03,,,,,,
2018,2018-06-04,4.5922,4.6005,5.3686,5.3782,6.0973,6.1291
2018,2018-06-05,4.6284,4.6367,5.4214,5.4312,6.1797,6.2119
2018,2018-06-06,4.6073,4.6156,5.3881,5.3978,6.142,6.174
2018,2018-06-07,4.6095,4.6178,5.419,5.4287,6.1737,6.2059
2018,2018-06-08,4.5489,4.5571,5.378,5.3877,6.1058,6.1376
2018,2018-06-09,,,,,,
2018,2018-06-10,,,,,,
2018,2018-06-11,4.5024,4.5105,5.2956,5.3052,6.027,6.0584
2018,2018-06-12,4.5136,4.5217,5.3223,5.3319,6.0308,6.0623
2018,2018-06-13,4.5491,4.5573,5.3626,5.3723,6.079,6.1107
2018,2018-06-14,4.6484,4.6568,5.4621,5.472,6.1896,6.2218
2018,2018-06-15,,,,,,
2018,2018-06-16,,,,,,
2018,2018-06-17,,,,,,
2018,2018-06-18,4.6484,4.6568,5.4621,5.472,6.1896,6.2218
2018,2018-06-19,4.7151,4.7236,5.4667,5.4765,6.2346,6.2671
2018,2018-06-20,4.7545,4.763,5.4969,5.5068,6.2583,6.291
2018,2018-06-21,4.7488,4.7573,5.4929,5.5028,6.2396,6.2721
2018,2018-06-22,4.7524,4.7609,5.4833,5.4932,6.2349,6.2675
2018,2018-06-23,,,,,,
2018,2018-06-24,,,,,,
2018,2018-06-25,4.7077,4.7162,5.4848,5.4946,6.2474,6.2799
2018,2018-06-26,4.6397,4.648,5.4071,5.4169,6.1379,6.1699
2018,2018-06-27,4.674,4.6824,5.4576,5.4674,6.1847,6.2169
2018,2018-06-28,4.6349,4.6433,5.396,5.4058,6.1115,6.1434
2018,2018-06-29,4.6083,4.6166,5.331,5.3406,6.0221,6.0535
2018,2018-06-30,,,,,,
2018,2018-07-01,,,,,,
2018,2018-07-02,4.5607,4.569,5.3092,5.3188,5.981,6.0122
2018,2018-07-03,4.6225,4.6308,5.3804,5.3901,6.0726,6.1042
2018,2018-07-04,4.656,4.6644,5.4274,5.4372,6.1255,6.1574
2018,2018-07-05,4.6987,4.7071,5.4731,5.483,6.1958,6.2281
2018,2018-07-06,4.6427,4.651,5.4288,5.4386,6.1393,6.1713
2018,2018-07-07,,,,,,
2018,2018-07-08,,,,,,
2018,2018-07-09,4.6004,4.6087,5.3876,5.3973,6.0791,6.1108
2018,2018-07-10,4.5304,4.5385,5.3334,5.343,6.0311,6.0625
2018,2018-07-11,4.705,4.7134,5.5167,5.5267,6.2248,6.2573
2018,2018-07-12,4.7488,4.7574,5.5636,5.5737,6.284,6.3167
2018,2018-07-13,4.8176,4.8263,5.6233,5.6334,6.354,6.3872
2018,2018-07-14,,,,,,
2018,2018-07-15,,,,,,
2018,2018-07-16,4.842,4.8507,5.632,5.6421,6.3494,6.3825
2018,2018-07-17,4.8357,4.8444,5.6599,5.6701,6.4012,6.4345
2018,2018-07-18,4.8365,4.8452,5.6714,5.6816,6.3937,6.427
2018,2018-07-19,4.7908,4.7994,5.568,5.578,6.2407,6.2732
2018,2018-07-20,4.823,4.8317,5.5986,5.6087,6.2637,6.2963
2018,2018-07-21,,,,,,
2018,2018-07-22,,,,,,
2018,2018-07-23,4.8,4.8086,5.5924,5.6025,6.2404,6.273
2018,2018-07-24,4.7538,4.7624,5.5684,5.5785,6.2339,6.2664
2018,2018-07-25,4.7775,4.7861,5.5862,5.5963,6.2547,6.2873
2018,2018-07-26,4.854,4.8628,5.6774,5.6876,6.3778,6.411
2018,2018-07-27,4.8183,4.827,5.6457,5.6559,6.3424,6.3755
2018,2018-07-28,,,,,,
2018,2018-07-29,,,,,,
2018,2018-07-30,4.8568,4.8655,5.6499,5.6601,6.3499,6.383
2018,2018-07-31,4.885,4.8938,5.7034,5.7137,6.3977,6.431
2018,2018-08-01,4.8999,4.9087,5.7456,5.756,6.4328,6.4663
2018,2018-08-02,4.9223,4.9312,5.7515,5.7619,6.447,6.4806
2018,2018-08-03,5.0504,5.0595,5.87,5.8806,6.5933,6.6277
2018,2018-08-04,,,,,,
2018,2018-08-05,,,,,,
2018,2018-08-06,5.0778,5.087,5.8794,5.89,6.5907,6.6251
2018,2018-08-07,5.1464,5.1557,5.9462,5.957,6.6593,6.6941
2018,2018-08-08,5.2634,5.2729,6.0999,6.1109,6.8127,6.8482
2018,2018-08-09,5.2813,5.2908,6.1252,6.1362,6.8008,6.8363
2018,2018-08-10,5.3988,5.4085,6.2588,6.27,6.9406,6.9768
2018,2018-08-11,,,,,,
2018,2018-08-12,,,,,,
2018,2018-08-13,5.9389,5.9496,6.8081,6.8204,7.5731,7.6126
2018,2018-08-14,6.8798,6.8922,7.8327,7.8468,8.758,8.8036
2018,2018-08-15,6.5465,6.5583,7.4687,7.4822,8.3549,8.3984
2018,2018-08-16,6.136,6.1471,6.9501,6.9626,7.788,7.8286
2018,2018-08-17,5.7982,5.8087,6.5935,6.6054,7.3552,7.3936
2018,2018-08-18,,,,,,
2018,2018-08-19,,,,,,
2018,2018-08-20,5.9944,6.0052,6.8267,6.839,7.6094,7.6491
2018,2018-08-21,,,,,,
2018,2018-08-22,,,,,,
2018,2018-08-23,,,,,,
2018,2018-08-24,,,,,,
2018,2018-08-25,,,,,,
2018,2018-08-26,,,,,,
2018,2018-08-27,5.9944,6.0052,6.8267,6.839,7.6094,7.6491
2018,2018-08-28,6.1901,6.2012,7.1875,7.2004,7.9377,7.979
2018,2018-08-29,6.2186,6.2298,7.2744,7.2875,8.008,8.0497
2018,2018-08-30,,,,,,
2018,2018-08-31,6.4063,6.4178,7.4735,7.4869,8.2341,8.277
2018,2018-09-01,,,,,,
2018,2018-09-02,,,,,,
2018,2018-09-03,6.5498,6.5616,7.6428,7.6566,8.5062,8.5505
2018,2018-09-04,6.6213,6.6333,7.6868,7.7007,8.5226,8.567
2018,2018-09-05,6.6797,6.6918,7.7252,7.7391,8.5562,8.6008
2018,2018-09-06,6.6824,6.6944,7.7336,7.7475,8.5518,8.5964
2018,2018-09-07,6.5863,6.5981,7.6573,7.6711,8.4999,8.5442
2018,2018-09-08,,,,,,
2018,2018-09-09,,,,,,
2018,2018-09-10,6.469,6.4807,7.5259,7.5395,8.3732,8.4169
2018,2018-09-11,6.4533,6.4649,7.4635,7.477,8.3317,8.3752
2018,2018-09-12,6.4538,6.4654,7.4899,7.5034,8.3997,8.4435
2018,2018-09-13,6.3945,6.406,7.4085,7.4219,8.3065,8.3498
2018,2018-09-14,6.3566,6.3681,7.3855,7.3988,8.2792,8.3224
2018,2018-09-15,,,,,,
2018,2018-09-16,,,,,,
2018,2018-09-17,6.0659,6.0768,7.0988,7.1116,7.9442,7.9856
2018,2018-09-18,6.2608,6.272,7.2946,7.3077,8.1875,8.2302
2018,2018-09-19,6.3635,6.375,7.4387,7.4521,8.3474,8.3909
2018,2018-09-20,6.3095,6.3208,7.3766,7.3899,8.2946,8.3379
2018,2018-09-21,6.2718,6.2831,7.3437,7.357,8.2689,8.312
2018,2018-09-22,,,,,,
2018,2018-09-23,,,,,,
2018,2018-09-24,6.2671,6.2784,7.3794,7.3927,8.261,8.304
2018,2018-09-25,6.2287,6.2399,7.3234,7.3366,8.1565,8.199
2018,2018-09-26,6.124,6.135,7.2057,7.2187,8.036,8.0779
2018,2018-09-27,6.1242,6.1353,7.2007,7.2136,8.047,8.0889
2018,2018-09-28,6.0752,6.0862,7.113,7.1258,7.9631,8.0046
2018,2018-09-29,,,,,,
2018,2018-09-30,,,,,,
2018,2018-10-01,5.9902,6.001,6.9505,6.9631,7.8079,7.8486
2018,2018-10-02,5.9659,5.9767,6.9213,6.9337,7.7678,7.8083
2018,2018-10-03,6.0082,6.019,6.9255,6.938,7.7814,7.8219
2018,2018-10-04,6.0289,6.0397,6.9741,6.9866,7.8226,7.8634
2018,2018-10-05,6.1244,6.1354,7.0388,7.0515,7.9306,7.9719
2018,2018-10-06,,,,,,
2018,2018-10-07,,,,,,
2018,2018-10-08,6.1543,6.1654,7.0786,7.0913,8.0127,8.0545
2018,2018-10-09,6.1516,6.1626,7.0624,7.0751,8.0181,8.0599
2018,2018-10-10,6.1156,6.1266,7.0088,7.0215,7.9702,8.0117
2018,2018-10-11,6.0885,6.0995,6.9994,7.012,7.9977,8.0393
2018,2018-10-12,5.9833,5.9941,6.9147,6.9272,7.8854,7.9265
2018,2018-10-13,,,,,,
2018,2018-10-14,,,,,,
2018,2018-10-15,5.9042,5.9149,6.8404,6.8527,7.7951,7.8357
2018,2018-10-16,5.8113,5.8218,6.7288,6.7409,7.6255,7.6653
2018,2018-10-17,5.7794,5.7898,6.6943,6.7064,7.6153,7.655
2018,2018-10-18,5.6825,5.6928,6.5678,6.5797,7.4573,7.4962
2018,2018-10-19,5.5498,5.5598,6.39,6.4015,7.2651,7.303
2018,2018-10-20,,,,,,
2018,2018-10-21,,,,,,
2018,2018-10-22,5.6134,5.6235,6.4316,6.4432,7.3018,7.3399
2018,2018-10-23,5.6481,5.6582,6.5039,6.5156,7.356,7.3944
2018,2018-10-24,5.771,5.7814,6.6206,6.6326,7.486,7.5251
2018,2018-10-25,5.717,5.7273,6.5295,6.5412,7.3822,7.4207
2018,2018-10-26,5.6797,5.6899,6.4795,6.4912,7.3153,7.3535
2018,2018-10-27,,,,,,
2018,2018-10-28,,,,,,
2018,2018-10-29,,,,,,
2018,2018-10-30,5.6186,5.6287,6.3835,6.395,7.1814,7.2188
2018,2018-10-31,5.5203,5.5303,6.2734,6.2847,7.036,7.0727
2018,2018-11-01,5.4981,5.508,6.2373,6.2486,6.9924,7.0289
2018,2018-11-02,5.5704,5.5804,6.3351,6.3465,7.1683,7.2057
2018,2018-11-03,,,,,,
2018,2018-11-04,,,,,,
2018,2018-11-05,5.4613,5.4712,6.246,6.2572,7.0996,7.1366
2018,2018-11-06,5.447,5.4569,6.1996,6.2108,7.0721,7.109
2018,2018-11-07,5.3418,5.3514,6.0954,6.1064,6.9648,7.0011
2018,2018-11-08,5.3575,5.3672,6.1463,6.1573,7.0328,7.0695
2018,2018-11-09,5.4095,5.4193,6.1806,6.1917,7.0852,7.1221
2018,2018-11-10,,,,,,
2018,2018-11-11,,,,,,
2018,2018-11-12,5.4819,5.4918,6.2174,6.2286,7.1235,7.1607
2018,2018-11-13,5.4764,5.4862,6.1672,6.1783,7.0305,7.0671
2018,2018-11-14,5.477,5.4868,6.1575,6.1686,7.0531,7.0898
2018,2018-11-15,5.4625,5.4724,6.1622,6.1733,7.0694,7.1062
2018,2018-11-16,5.4177,5.4275,6.131,6.142,6.9676,7.004
2018,2018-11-17,,,,,,
2018,2018-11-18,,,,,,
2018,2018-11-19,5.3412,5.3508,6.0565,6.0674,6.8265,6.862
2018,2018-11-20,5.3231,5.3327,6.0775,6.0884,6.8286,6.8642
2018,2018-11-21,5.3272,5.3368,6.0935,6.1045,6.8347,6.8703
2018,2018-11-22,5.3497,5.3593,6.0935,6.1045,6.8332,6.8688
2018,2018-11-23,5.3029,5.3124,6.0497,6.0606,6.7883,6.8237
2018,2018-11-24,,,,,,
2018,2018-11-25,,,,,,
2018,2018-11-26,5.2771,5.2866,6.0042,6.015,6.769,6.8043
2018,2018-11-27,5.2444,5.2538,5.9604,5.9712,6.7206,6.7557
2018,2018-11-28,5.2366,5.2461,5.9259,5.9365,6.6695,6.7043
2018,2018-11-29,5.2486,5.258,5.9233,5.934,6.691,6.7259
2018,2018-11-30,5.1649,5.1742,5.8737,5.8843,6.5977,6.6321
2018,2018-12-01,,,,,,
2018,2018-12-02,,,,,,
2018,2018-12-03,5.157,5.1663,5.8679,5.8784,6.5757,6.61
2018,2018-12-04,5.1906,5.2,5.895,5.9056,6.6181,6.6526
2018,2018-12-05,5.2723,5.2818,6.0068,6.0176,6.7282,6.7633
2018,2018-12-06,5.3733,5.3829,6.0929,6.1039,6.8299,6.8655
2018,2018-12-07,5.3608,5.3705,6.0759,6.0869,6.8118,6.8473
2018,2018-12-08,,,,,,
2018,2018-12-09,,,,,,
2018,2018-12-10,5.3257,5.3353,6.0572,6.0681,6.7848,6.8201
2018,2018-12-11,5.281,5.2905,6.0289,6.0397,6.7015,6.7365
2018,2018-12-12,5.3505,5.3601,6.088,6.099,6.7289,6.764
2018,2018-12-13,5.3633,5.373,6.0764,6.0873,6.7071,6.7421
2018,2018-12-14,5.3611,5.3708,6.0997,6.1107,6.7728,6.8081
2018,2018-12-15,,,,,,
2018,2018-12-16,,,,,,
2018,2018-12-17,5.371,5.3807,6.0755,6.0865,6.7506,6.7858
2018,2018-12-18,5.3766,5.3863,6.091,6.102,6.7651,6.8003
2018,2018-12-19,5.3504,5.36,6.0839,6.0949,6.7571,6.7923
2018,2018-12-20,5.3314,5.341,6.0764,6.0874,6.7362,6.7713
2018,2018-12-21,5.26,5.2695,6.0206,6.0314,6.6558,6.6905
2018,2018-12-22,,,,,,
2018,2018-12-23,,,,,,
2018,2018-12-24,5.2746,5.2841,6.0342,6.0451,6.6718,6.7066
2018,2018-12-25,5.2926,5.3021,6.0291,6.0399,6.6877,6.7225
2018,2018-12-26,5.3034,5.313,6.0419,6.0527,6.7245,6.7595
2018,2018-12-27,5.2832,5.2927,6.0185,6.0294,6.6954,6.7303
2018,2018-12-28,5.2889,5.2985,6.0245,6.0354,6.6761,6.711
2018,2018-12-29,,,,,,
2018,2018-12-30,,,,,,
2018,2018-12-31,5.2609,5.2704,6.028,6.0388,6.6528,6.6875
2019,2019-01-01,,,,,,
2019,2019-01-02,5.281,5.2905,6.0422,6.053,6.7135,6.7485
2019,2019-01-03,5.3316,5.3412,6.1061,6.1171,6.7643,6.7996
2019,2019-01-04,5.4588,5.4686,6.2057,6.2169,6.8468,6.8825
2019,2019-01-05,,,,,,
2019,2019-01-06,,,,,,
2019,2019-01-07,5.4088,5.4186,6.1687,6.1798,6.837,6.8726
2019,2019-01-08,5.3597,5.3693,6.1285,6.1395,6.8184,6.8539
2019,2019-01-09,5.4264,5.4362,6.2134,6.2246,6.9168,6.9529
2019,2019-01-10,5.4973,5.5072,6.2999,6.3112,6.9928,7.0292
2019,2019-01-11,5.4626,5.4724,6.3007,6.3121,6.9572,6.9934
2019,2019-01-12,,,,,,
2019,2019-01-13,,,,,,
2019,2019-01-14,5.4242,5.434,6.2525,6.2638,6.9175,6.9535
2019,2019-01-15,5.5103,5.5203,6.321,6.3324,7.0653,7.1021
2019,2019-01-16,5.4401,5.4499,6.2291,6.2404,6.991,7.0274
2019,2019-01-17,5.4037,5.4134,6.1605,6.1716,6.9369,6.973
2019,2019-01-18,5.3563,5.3659,6.103,6.114,6.8845,6.9204
2019,2019-01-19,,,,,,
2019,2019-01-20,,,,,,
2019,2019-01-21,5.3429,5.3526,6.0908,6.1018,6.9066,6.9426
2019,2019-01-22,5.3369,5.3465,6.0714,6.0823,6.8515,6.8872
2019,2019-01-23,5.3454,5.3551,6.0716,6.0826,6.8801,6.916
2019,2019-01-24,5.3142,5.3238,6.0386,6.0495,6.8894,6.9253
2019,2019-01-25,5.274,5.2835,5.9905,6.0013,6.8675,6.9033
2019,2019-01-26,,,,,,
2019,2019-01-27,,,,,,
2019,2019-01-28,5.2641,5.2736,5.9654,5.9761,6.88,6.9159
2019,2019-01-29,5.2763,5.2858,6.019,6.0299,6.9342,6.9703
2019,2019-01-30,5.3339,5.3436,6.101,6.112,7.0069,7.0435
2019,2019-01-31,5.2781,5.2876,6.0339,6.0447,6.9005,6.9364
2019,2019-02-01,5.2109,5.2203,5.9871,5.9979,6.8298,6.8654
2019,2019-02-02,,,,,,
2019,2019-02-03,,,,,,
2019,2019-02-04,5.1945,5.2038,5.9515,5.9622,6.7833,6.8186
2019,2019-02-05,5.2194,5.2288,5.9743,5.9851,6.8093,6.8448
2019,2019-02-06,5.1979,5.2073,5.9371,5.9477,6.7603,6.7956
2019,2019-02-07,5.2089,5.2183,5.9328,5.9435,6.7367,6.7718
2019,2019-02-08,5.2407,5.2502,5.9468,5.9575,6.7543,6.7895
2019,2019-02-09,,,,,,
2019,2019-02-10,,,,,,
2019,2019-02-11,5.2438,5.2532,5.9447,5.9554,6.7775,6.8129
2019,2019-02-12,5.2556,5.2651,5.946,5.9567,6.7754,6.8107
2019,2019-02-13,5.2638,5.2733,5.9377,5.9484,6.7561,6.7913
2019,2019-02-14,5.2429,5.2523,5.9374,5.9481,6.7552,6.7904
2019,2019-02-15,5.2867,5.2962,5.9591,5.9699,6.7763,6.8116
2019,2019-02-16,,,,,,
2019,2019-02-17,,,,,,
2019,2019-02-18,5.2601,5.2696,5.9335,5.9442,6.7268,6.7618
2019,2019-02-19,5.2922,5.3018,5.9886,5.9994,6.8256,6.8612
2019,2019-02-20,5.3052,5.3147,5.9958,6.0066,6.8408,6.8765
2019,2019-02-21,5.2964,5.3059,6.0072,6.018,6.8926,6.9286
2019,2019-02-22,5.3141,5.3236,6.0263,6.0371,6.9272,6.9633
2019,2019-02-23,,,,,,
2019,2019-02-24,,,,,,
2019,2019-02-25,5.3168,5.3264,6.0318,6.0427,6.9147,6.9508
2019,2019-02-26,5.3058,5.3154,6.0244,6.0353,6.9264,6.9625
2019,2019-02-27,5.2949,5.3044,6.0141,6.025,6.9628,6.9991
2019,2019-02-28,5.2905,5.3,6.0257,6.0366,7.0133,7.0499
2019,2019-03-01,5.3177,5.3273,6.0576,6.0685,7.0601,7.0969
2019,2019-03-02,,,,,,
2019,2019-03-03,,,,,,
2019,2019-03-04,5.3442,5.3538,6.0762,6.0871,7.0659,7.1027
2019,2019-03-05,5.3781,5.3878,6.1024,6.1134,7.1012,7.1382
2019,2019-03-06,5.3671,5.3767,6.0803,6.0913,7.0576,7.0944
2019,2019-03-07,5.379,5.3887,6.08,6.0909,7.0579,7.0947
