Date,Total Inflows,Customers - DDS,Customers - EFT,T&S Collections,FX Sales,Other operations,Total Outflows,Tüpraş,Other Oil,Gas,Import payments (FX purchases),Tax,Operatioınal and Admin. Expenses,VIS Buyback Payments,Net Cashflow from Operations,Inflows- currency
2019-01-29,29697591.0775,15775000,11064385.435,2858205.6425,0.0,0,-11655054.4275,-7661425.4925,0,-130219.75,0,-521508.37,-3341900.815,0,18042536.65,
2019-01-30,55269479.080000006,26957500,20320863.885,7991115.195,0.0,0,-16408260.875,-5571881.1075,-63927.5,-645909,-9238250,-590015.43,-298277.83749999997,0,38861218.205000006,
2019-01-31,49679406.18500001,21228250,24392517.680000003,2696096.2300000004,1362542.275,0,-12426074.764999999,-10329767.4,-951225.5,-210650.5,0,-462087.3875,-472343.9775,0,37253331.42000001,
2019-02-01,33766993.25,14246500,14730143.205000002,4790350.045,0.0,0,-31457984.7625,-10550642.605,-450746.465,-3590507.5,-12992500,-44565.195,-3829022.9975,0,2309008.4875000007,
2019-02-04,59970794.6775,8376000,32792187.325000003,18802607.3525,0.0,0,-70709838.45750001,-26108641.0375,-2750000,-2225000,-33306625,-2387322.42,-3932250,0,-10739043.780000009,
2019-02-05,34466526.642500006,16205250,12236268.200000001,6025008.4425,0.0,0,-36395456.025000006,-9830474.805,-168595.25,-732905.25,0,-4961817.0025,-664893.265,-20036770.4525,-1928929.3825000003,
2019-02-06,20628889.4575,12206500,6822124.7075,1600264.75,0.0,0,-13352208.9,-9560446.6475,-22955.5,-801657.5,0,-68447.555,-2898701.6975000002,0,7276680.557499999,
2019-02-07,30206831.125,12939750,13300954.35,3966126.7750000004,0.0,0,-12427833.355,-9449709.64,-570153.5,-950951.75,0,-13353.17,-1443665.295,0,17778997.77,
2019-02-08,31226518.21,12671000,13527546.302500002,5027971.907499999,0.0,0,-48584866.737500004,-12051180.715,-3825985,-1420443.75,-26305000,-3705500.94,-1276756.3325,0,-17358348.527500004,
2019-02-11,99500178.88749999,52152500,30816839.897499997,16530838.99,0.0,0,-100055986.36999999,-23609519.494999997,-9264269.5,-1794097.25,-19659375,-43559102.052499995,0,-2169623.0725000002,-555807.4825000018,
2019-02-12,30384508.112499997,14506750,13237697.794999998,2640060.3175,0.0,0,-38007124.675,-12979124.4675,-140362.1775,-885520.29,-21741937.5,-1464861.1975,-795319.0425,0,-7622616.5625,
2019-02-13,41722986.027499996,14110000,18277513.634999998,9335472.392499998,0.0,0,-12967939.565,-11360591.4225,-6611.5,-602732.75,0,-97373.945,-900629.9475,0,28755046.4625,
2019-02-14,45812609.7175,22522500,6213182.022499999,17076927.695,0.0,0,-37197488.4875,-21529170.66,-126484.4225,-565011.25,-13252500,-738051.7975,-986270.3575,0,8615121.230000004,
2019-02-15,60979303.932500005,29365000,25037440.53,6576863.4025,0.0,0,-39273927.0575,-5933951.245,-1360882.7275000003,-1087991.25,-28507387.5,-167896.3125,-2215818.0225,0,21705376.875000007,
2019-02-18,78089351.97,36868000,25326984.49,15894367.48,0.0,0,-53458476.362500004,-36475972.5675,-11573137.68,-2116727.6775,0,-886723.7275,-2405914.71,0,24630875.607499994,
2019-02-19,29927366.942500003,5718500,14641251.42,9567615.5225,0.0,0,-24601637.5975,-11211595.07,-4822543,-633476.75,0,-3285192.175,-4648830.6025,0,5325729.3450000025,
2019-02-20,33392084.509999998,15330250,7096681.645,10965152.865,0.0,0,-42940610.2175,-8083106.205,-3159485.4,-1301514.75,-38000.049999999996,-351866.7125,-1227175.5225,-28779461.5775,-9548525.707500003,
2019-02-21,29697453.602500003,16200750,9814490.405,3682213.1975000002,0.0,0,-18844576.32,-6189298.3825,-9793169.975,-1244591.75,0,-556009.79,-1061506.4224999999,0,10852877.282500003,
2019-02-22,31735221.795,13788250,13472561.4725,4474410.3225,0.0,0,-16961189.7225,-6857924.205,-4981452.5,-763735.75,0,-3089831.07,-1268246.1975,0,14774032.072500002,
2019-02-25,91016531.3575,49758000,25679176.154999997,14224157.7025,1355197.5,0,-117850583.08500001,-32554173.7425,0,-987750,-12654532.7375,-57419670.235,-14234456.37,0,-26834051.727500007,
2019-02-26,33929679.26,19822250,10828609.4775,3278819.7825,0.0,0,-32644635.802500002,-10658570.11,-40176.5,-866868.5825,-3042382.5,-15732991.617500002,-2303646.4925,0,1285043.4574999958,
2019-02-27,28884486.585000005,10764750,15443666.332500003,2676070.2525000004,0.0,0,-17988099.81,-12333659.3575,-57412,-1143110,0,-3896652.1475,-557266.3049999999,0,10896386.775000006,
2019-02-28,69872786.9475,21481000,34394110.2325,12193521.715,1804155.0,0,-18824444.6075,-12475562.9175,-38962.75,-701479.25,0,-4633738.1425,-974701.5475,0,51048342.34,
2019-03-01,40425180.537499994,14807250,22298188.787499998,3319741.75,0.0,0,-34556996.419999994,-8708507.91,-1161349.25,-1498621.75,-22984750,-12826.2675,-190941.24250000017,0,5868184.1175,
2019-03-04,92212703.19000001,36235250,37431596.115,18545857.075000003,0.0,0,-65102242.752500005,-35035549,-7972750,-807500,-19234937.5,-53212.4025,-1998293.8500000006,0,27110460.437500007,
2019-03-05,31863043.025,16284000,8517300.9175,7061742.1075,0.0,0,-30429556.0975,-14003706.175,-4024292.5,-786578.5,-470452.5,-203694.07,0,-10940832.3525,1433486.9274999984,
2019-03-06,50659848.855,11344500,22881293.017500002,16434055.8375,0.0,0,-29164802.65,-15665153.4575,-4050895.75,-1412224.25,-30337,-6398191.3175,-1608000.875,0,21495046.205,
2019-03-07,56164440.28,15866750,23911013.6825,16386676.597499998,0.0,0,-47441380.175,-29536933.525,-241770.5,-657824.5,-15399052,-26216.3525,-1579583.2974999999,0,8723060.105000004,
2019-03-08,42643937.43000001,13769250,20042494.8875,8832192.5425,0.0,0,-18291513.837500002,-12576919.07,-4044614.5,-1107503.25,0,-15490.725,-546986.2925000004,0,24352423.592500005,
2019-03-11,117542016.64999999,51495500,40709285.2275,25337231.4225,0.0,0,-121797462.89500001,-58298981.8075,-9138453,-3925014.8499999996,-392391,-46723598.1475,-3319024.09,0,-4255446.24500002,
2019-03-12,53701065.2975,17650000,21123616.995,14927448.302499998,0.0,0,-38657307.167500004,-13734244.3175,-9116880.5,-1487477,-11819062.5,-590483.1,-1909159.75,0,15043758.129999995,
2019-03-13,58551845.480000004,10508250,28187401.427500002,19856194.052500002,0.0,0,-58793342.527499996,-24313823.25,-112098.75,-1802284.75,-28638400,-3361792.8,-564942.9775,0,-241497.04749999195,
2019-03-14,39038570.545,12584750,19890970.625,6562849.92,0.0,0,-26634625.6875,-12977383.84,-8030000,-3483601.25,-546620,-810671.52,-786349.0774999987,0,12403944.857500002,
2019-03-15,76639270.7225,27162250,33489756.759999998,15987263.9625,0.0,0,-60969281.6125,-10351311.8375,-394092.25,-691410.75,-47434056.25,-53681.2125,-2044729.3125,0,15669989.11,
2019-03-18,101442202.23250002,46619500,31352886.112500004,19133806.12,4336010.0,0,-55879418.5793,-38685445.6575,-8155839.25,-2783448.5,-1504350.2668,-2227899.8075,-2522435.0975,0,45562783.653200015,
2019-03-19,61420447.1025,5181750,29998311.9625,26240385.14,0.0,0,-34388188.235,-10435192.4325,-96418,-614928.25,-22712950,-61345.45,-467354.1025,0,27032258.8675,
2019-03-20,40632146.0175,13058000,16094782.192499999,11479363.825,0.0,0,-41270874.39605825,-7552981.5375,-16421.25,-243209,-172612.92855825,-655402.84,-1916746.84,-30713500,-638728.3785582483,
2019-03-21,37438992.75,18459250,13954016,5025726.75,0.0,0,-12348187.925,-7747318.86,-51669.19,-785383.25,0,-3022589.89,-741226.7350000001,0,25090804.825,
2019-03-22,35982098.6675,15074000,17214042.035,3694056.6325,0.0,0,-22570317.157500003,-2979382.9025,-10480914.25,-740333,-2877262.5,-4552513.565,-939910.94,0,13411781.509999994,
2019-03-25,106886061.53,55523750,29343061.529999997,22019250,0.0,0,-136864406.1768695,-42792798.83,-7004958,-2322219.5,-29951192.1343695,-52481496.685,-2311741.0275000003,0,-29978344.64686951,
2019-03-26,31965797.935000002,18546250,10146379.685000002,3273168.25,0.0,0,-34719405.4775,-6381382.0125,0,-55499.325,-13750000,-11292556.17,-3239967.97,0,-2753607.5424999967,
2019-03-27,50961692.2525,12301750,23034942.252499998,15625000,0.0,0,-64876233.262499996,-11458489.6375,-19803060.1175,-1253404.75,-28057187.5,-3897212.8225,0,-406878.43500000006,-13914541.009999998,
2019-03-28,40765063.900000006,13898500,17680501.71,9186062.190000001,0.0,0,-27547475.95,-16828586.02,-1750000,-3000000,-2464311.25,-730657.41,-2773921.27,0,13217587.950000007,
2019-03-29,89676529.91250001,28987000,40906437.81,18625379.1725,1157712.93,0,-15030078.2,-7252981.2825,-500000,-1250000,-227826,-5020464.305,-778806.6124999999,0,74646451.7125,
2019-04-01,115240322.72,52160000,37824052.175,25256270.544999998,0.0,0,-82860936.365,-60144183.2825,-6019267.5,-2389223.5,-6946250.000000001,-5593273.0825,-1768739,0,32379386.355000004,
2019-04-02,32490251.672500003,7268000,17457148.422500003,7765103.25,0.0,0,-29611672.307499997,-8124532.705,-4794875.75,-1635884.445,-13990000,-135614.7275,-930764.6799999997,0,2878579.365000006,
2019-04-03,35252078.74,14711750,12548759.24,7991569.5,0.0,0,-53606456.24250001,-9492280.265,-500000,-500000,-12148843.75,-45109.7325,-706347.93,-30213874.565,-18354377.502500005,
2019-04-04,43986489.635,14469000,18288453.6725,11229035.9625,0.0,0,-30042744.0675,-16490892.2775,-4265526,-3064780.25,-4231500,-804456.0825,-1185589.4575,0,13943745.567499999,
2019-04-05,84700340.71,16682500,40936198.8525,27081641.857499998,0.0,0,-19653122.0975,-9819062.5625,-5718520.75,-1017582.25,0,-1998252.6575,-1099703.8775,0,65047218.6125,
2019-04-08,100602474.63,44174000,35910576.9325,20517897.697499998,0.0,0,-72838531.3775,-50544176.1,-14660217.5,-1167177.5,-156486,-20875.2425,-6289599.035,0,27763943.252499998,
2019-04-09,74885743.5325,21379500,34070506.2825,19435737.25,0.0,0,-34765501.8925,-23292675.5275,-45045,-907646.25,-8481750,-149412.185,-1888972.93,0,40120241.64,
2019-04-10,64287479.175000004,29388000,22285570.760000005,12613908.415,0.0,0,-96297762.3125,-18450033.6975,-1774627.75,-3758076,-18465350,-53323796.865,-525878,0,-32010283.137499996,
2019-04-11,40543284.9475,12419750,20304665.9775,7818868.97,0.0,0,-23697861.27,-12869171.25,-9275731.75,-778890.25,0,-430338.2125,-343729.8075,0,16845423.6775,
2019-04-12,68396459.57000001,14073750,32149852.707500007,22172856.8625,0.0,0,-18367391.455,-10687367.2275,-4302749.25,-849896,0,-48.55,-2527330.4275,0,50029068.11500001,
2019-04-15,143798826.32999998,66605000,50889726.58,26304099.75,0.0,0,-95323430.9525,-43129146.8325,-15529677.25,-2222003.25,-29212988.1,-3047336.6425,-2182278.8775000023,0,48475395.37749998,
2019-04-16,46438111.1425,17844250,17926029.272499997,10667831.870000001,0.0,0,-6819020.9399999995,-4215216.885,-184457.75,-863260.25,0,-649291.725,-906794.33,0,39619090.2025,
2019-04-17,20999041.044999998,4471000,10535884.235,5992156.81,0.0,0,-24176344.485,-19308492.564999998,-189370.385,-752687.75,0,-2611317.59,-1314476.1949999998,0,-3177303.4400000013,
2019-04-18,28908391.0525,15146750,9082211.62,4679429.4325,0.0,0,-55300827.6125,-11804620.1225,-5068262.3175,-1633172.64,0,-64910.8275,-911521.3900000005,-35818340.315,-26392436.56,
2019-04-19,79365514.89750001,14451250,36856267.1475,26428247.75,1629750.0,0,-42008974.24,-20052775.2625,-10204546.5,-2245132.35,0,-5967731.0525,-3538789.075,0,37356540.657500006,
2019-04-22,99733081.61250001,46302750,30546129.265,22884202.347500004,0.0,0,-56881586.9825,-50903311.135,-2118013,-2195112,0,0,-1665150.8475000001,0,42851494.63000001,
2019-04-24,77409827.395,29653750,29979030.145,17777047.25,0.0,0,-30129908.9325,-21750000,-4643714.75,-1309867.5,0,-795907.815,-1630418.8675,0,47279918.46249999,
2019-04-25,63423547.6125,28936500,21034754.55,13452293.0625,0.0,0,-75712906.74249999,-11707227.05,-5905809.13,-2653064.25,0,-53758060.14,-1688746.1724999999,0,-12289359.129999995,
2019-04-26,39602615.3925,15876750,17681525.8,6044339.5925,0.0,0,-67096396.205,-12357862.76,-83294.25,-77861.5,-24774637.5,-28462759.195,-1339981,0,-27493780.8125,
2019-04-29,112921897.91749999,46957500,42108678.970000006,23855718.947499998,0.0,0,-113140207.74,-58290797.1725,-6912641.5,-2987842,-40850000,-862252.3775,-3236674.69,0,-218309.82250000536,
2019-04-30,97108261.5925,53937000,33506063.467500005,7888926.25,1776271.875,0,-19007122.466054,-9898246.7125,-3726883.5,-677761.25,-42392.146054,-3698344.495,-963494.3624999998,0,78101139.12644601,
2019-05-02,47777360.2,10144500,22674141.7725,14958718.4275,0.0,0,-53043547.214999996,-22415754.5875,-156736.9375,-2217336.5,-26824575,-203982.5025,-1225161.6875,0,-5266187.014999993,
2019-05-03,81485583.465,15344000,39956951.41500001,26184632.05,0.0,0,-49313874.965,-16317206.635,-2541049.1125,-3191.7425,0,-5255628.4525,0,-25196799.0225,32171708.5,
2019-05-06,87815248.80499999,46354000,28057083.487499997,13404165.317499999,0.0,0,-82086621.7175,-58989778.125,-5347087.75,-8702734.75,-5993000,-1092709.8425,-1961311.25,0,5728627.087499991,
2019-05-07,39370779.5275,18266750,15264582.7925,5839446.735,0.0,0,-37468389.144999996,-14460752.0275,-6920527.25,-670027.75,-6910875,-4924318.1175,-3581889,0,1902390.3825000077,
2019-05-08,26966454.137499996,12670500,10098357.299999999,4197596.8375,0.0,0,-24111990.8425,-13439880.1075,-1928991.75,-630565.71,-6937875,-66243.885,-1108434.3900000001,0,2854463.2949999943,
2019-05-09,40293762.8,13408750,18203292.487499997,8681720.3125,0.0,0,-33429908.450000003,-15366447.6325,-153915.5,-1038373.5,-13893075,-938404.3975,-2039692.42,0,6863854.349999994,
2019-05-10,68887987.44,32801500,25455123.19,10631364.25,0.0,0,-83729096.10499999,-7802442.26,-7712365,-1887657.25,-16454250,-48211001.385,-1661380.21,0,-14841108.664999992,
2019-05-13,122862034.5275,41144500,47082044.5275,34635490,0.0,0,-83963961.76750001,-36259557.775,-11273615.5,-2028689,-30716825,-942229.31,-2743045.1825,0,38898072.75999999,
2019-05-14,40079317.9975,19514250,11867768.155,8697299.842500001,0.0,0,-10620787.4575,-4889440.3725,-1768637,-1221162,0,-827390.3125,-1914157.7725,0,29458530.540000003,
2019-05-15,65813148.955000006,37152750,23057255.675000004,5603143.279999999,0.0,0,-50973784.162499994,-13295813.065,0,-1045499.5,-32582349.799999997,-2703430.1275,-1346691.67,0,14839364.792500012,
2019-05-16,51278996.927499995,12816250,22713714.1025,15749032.825,0.0,0,-23427732.0225,-19570341.1475,0,-1547067.25,0,-219186.7175,-2091136.9075000002,0,27851264.904999994,
2019-05-17,54580803.995,2907750,34101430.495,17571623.5,0.0,0,-20016061.59,-8294644.535,0,-1096842.4825,-27131.75,-9525038.39,-1072404.4325,0,34564742.405,
2019-05-20,116820179.88749999,41716250,44647845.387499996,30456084.5,0.0,0,-130298433.3475,-50359043.05500001,-7765369.75,-2125000,-24982282.324999996,-5285633.9925,-3522527.7775,-36258576.4475,-13478253.460000008,
2019-05-21,51440218.03,19994250,20024707.654999997,11345486.625,75773.75,0,-14217876.5625,-10503851.2025,-71590.6525,-1776760.25,-128691.06249999999,-858147.0975,-878836.2975000001,0,37222341.4675,
2019-05-22,23003978.06,13794000,7385953.1225,1824024.9375,0.0,0,-11528935.897124998,-6560798.485,-2898956.75,-1016956.25,-10660.274624999998,-134662.9275,-906901.21,0,11475042.162875,
2019-05-23,70922669.1575,13082750,31735111.2025,26104807.955000002,0.0,0,-31262534.57,-27408311.145,-33029.25,-1028338,-1941817.3774999997,-9171.8675,-841866.9299999999,0,39660134.5875,
2019-05-24,47227659.230000004,14643750,23105830.515,9478078.715,0.0,0,-18890145.581003986,-5852132.6225,-55864.25,-1070944.5,-8835.846003985,-9358362.8175,-2544005.545,0,28337513.648996018,
2019-05-27,86067744.63,54518750,23191784.89,8357209.74,0.0,0,-125142109.185,-30708125.54,-3317572.5175,-13998942.75,-10612451.85,-64197574.68,-2307441.8475,0,-39074364.55500001,
2019-05-28,42806425.07000001,18417000,15286502.167500002,9102922.9025,0.0,0,-45711399.395,-17796603.255,-6741975.25,-498035.25,-18686069.902499996,-1016742.7875,-971972.9500000001,0,-2904974.3249999955,
2019-05-29,49518893.4025,14236250,21611731.5125,13670911.89,0.0,0,-32878869.902499996,-11120112.985,-16589.5,-958870.3275,-15877511.649999999,-4102230.275,-803555.165,0,16640023.500000007,
2019-05-30,69293074.1325,35992500,24150109.197499998,9150464.934999999,0.0,0,-43115051.796467945,-11961811.41,-919124,-890500.25,-28561163.648967944,0,-782452.4874999998,0,26178022.336032048,
2019-05-31,94764023.155,34233750,37087401.122499995,7156195.032500001,16286677.0,0,-18602770.3575,-8598786.0625,-3437242.5,-874053.25,0,-3483267.275,-2209421.27,0,76161252.7975,
2019-06-03,101586795.61,39637000,37768245.86,24181549.75,0.0,0,-66604249.7165,-34468976.3375,-9250000,-2055000,-14616691.089,0,-6213582.29,0,34982545.8935,
2019-06-07,94413910.735,35431500,37594464.56,21387946.175,0.0,0,-94016225.5695,-47437345.3325,-10153237,-4163300.935,-28258845.114499997,0,-4003497.1875,0,397685.1655000001,
2019-06-10,135949861.0675,67734500,41697139.472500004,26518221.595,0.0,0,-126983295.83375001,-45559421.8325,-10761145.5,-3354367.25,-2997430.68625,-47646149.795,-4479668.575,-12185112.195,8966565.233749986,
2019-06-11,61182453.81,18486250,25187731.560000002,17508472.25,0.0,0,-12565312.26,-10798519.8375,-69767.09,-1561302.2675,0,0,-135723.065,0,48617141.550000004,
2019-06-12,34364525.805,15389250,13447611.192499999,5527664.612500001,0.0,0,-30534229.562499996,-3696565.3475,-523913.75,-1514169,-14532267.749999998,-9006025.1725,-1261288.5425,0,3830296.2425000034,
2019-06-13,37130902.537499994,14503500,14453720.787499996,8173681.75,0.0,0,-48417544.684999995,-13821252.125,-5842051.145,-6387506.5,-21838379.062499996,-113257.9675,-415097.885,0,-11286642.1475,
2019-06-14,42472251.8875,18068000,20192692.6375,4211559.25,0.0,0,-40528484.247499995,-6800626.7025,-4020997.9324999996,-1693303.5725,-26584658.099999994,-664168.06,-764729.88,0,1943767.640000008,
2019-06-17,130070026.4825,72205500,41762827.2325,16101699.25,0.0,0,-95707364.55499999,-47128712.275,-6784600,-3879015.25,-31895951.674999997,-21996.955,-5997088.4,0,34362661.92750001,
2019-06-18,29853163.3825,8201750,14337689.872500002,7313723.51,0.0,0,-23433001.607499998,-12824536.0925,-7652987.46,-1431457,0,-188632.325,-1335388.73,0,6420161.775000002,
2019-06-19,21856370.755,11036750,8252101.445000002,2567519.31,0.0,0,-40054963.25750001,-14251166.7975,-109824.25,-1457438.75,0,-4722859.74,-708506.7375,-18805166.9825,-18198592.50250001,
2019-06-20,32506770.61,13778500,14045114.500000002,4683156.11,0.0,0,-40443933.6725,-3142411.605,-3955465.5,-2432469.25,-28704100,-204394.4325,-2005092.885,0,-7937163.0625,
2019-06-21,36740327.3275,21748750,11777240.850000001,3214336.4775,0.0,0,-32483494.6875,-7295725.3775,-5410587.25,-1391989.315,-17399610,-146374.88,-839207.865,0,4256832.640000001,
2019-06-24,86166579.385,49829250,24542042.5225,11795286.8625,0.0,0,-61931869.487500004,-38694240.517500006,-15771805.75,-3544917.87,-24569.625,-2170503.885,-1725831.84,0,24234709.8975,
2019-06-25,55043213.425,31829250,15248552.83,7965410.595,0.0,0,-91291898.125,-11957694.775,-5144153.25,-948675.75,-23507780.25,-47574366.325,-2159227.7750000004,0,-36248684.7,
2019-06-26,45204729.199999996,17419250,17527744.284999996,10257734.915000001,0.0,0,-30447922.51,-9448202.99,-3400000,-640000,-24594,-14613780.75,-2321344.77,0,14756806.689999994,
2019-06-27,34304284.53,16942500,13320739.03,4041045.5,0.0,0,-42607283.747499995,-8231366.8475,-98711.25,-448892.25,-31894162.5,-662614.15,-1271536.75,0,-8302999.217499994,
2019-06-28,95095982.02499999,37787250,43959598.77499999,11465909.5,1883223.75,0,-24675955.824418496,-15023052.1975,-3852369.25,-1178243.25,-27760.2469185,-3503473.68,-1091057.2,0,70420026.20058149,
2019-07-01,95454088.57249999,48147750,32878002.322499998,14428336.25,0.0,0,-89422966.4375,-39406515.725,-7055127.5,-4169815.25,-30604687.5,-5163694.9625,-3023125.5,0,6031122.13499999,
2019-07-02,54162775.8875,9933500,25941103.847500004,18288172.04,0.0,0,-36461927.042500004,-15250213.47,-17831.25,-2122848.35,-18468000,-13299.575,-589734.3975,0,17700848.845,
2019-07-03,46963744.9375,19275000,9793368.872500004,3820376.065,14075000.0,0,-41503349.505,-15000000,-3524833.25,-674364,0,-298057.53,-1824588.295,-20181506.43,5460395.432499997,
2019-07-04,49385703.95,16066000,13306185.97,6011017.98,14002500.0,0,-35074298.965,-15220429.28,-9811534.5,-977162.25,0,-5666438.9125,-3398734.022500001,0,14311404.985,
2019-07-05,75321414.41499999,15938000,31058762.915,17133651.5,11191000.0,0,-24830098.49,-15137191.96,-4509041.3875,-671981.3075,0,-3124187.525,-1387696.31,0,50491315.925,
2019-07-08,119310841.48203474,48394750,42605544.16,28208543,102004.32203475,0,-71517280.16,-44802563.37,-6560000,-3085836.25,-4658875,-757.0775,-12409248.4625,0,47793561.32203475,
2019-07-09,53269224.467499994,16656000,21828336.967499994,14784887.5,0.0,0,-26671295.312500004,-12628074.3575,-8970639,-1283404.75,0,-202985.3775,-3586191.8275,0,26597929.15499999,
2019-07-10,68807618.8575,33986000,25321330.3575,9500288.5,0.0,0,-76959569.63,-20449294.1625,-7967212.96,-781420.5,0,-46695667.255,-1065974.7525,0,-8151950.772499993,
2019-07-11,52200610.1675,15963000,22377710.167499997,13859900,0.0,0,-25700575.5525,-18244515.415,-3502430.75,-1324055.5,0,-1518538.335,-1111035.5525,0,26500034.615,
2019-07-12,87166295.3,18711500,41236574.275,27218221.025,0.0,0,-14539652.77,-8080754.735,-3306738.25,-1027084.655,0,-538374.15,-1586700.98,0,72626642.53,
2019-07-16,164126500.6775,83061250,50308217.9275,30757032.75,0.0,0,-147453320.925,-65805507.31,-20201082.25,-3661000,-53681625,-113153.115,-3990953.25,0,16673179.752499998,
2019-07-17,39779774.081,8471750,21749027.581,9558996.5,0.0,0,-32486941.1275,-21525894.2225,-3450000,-1562040.7525,-3281525,-2085964.84,-581516.3125,0,7292832.953499999,
2019-07-18,33449172.747500002,14400250,11968113.9975,4201033.75,2879775.0,0,-48378084.6325,-13480652.915,0,-2623537.415,0,-332499.055,-449560.745,-31491834.5025,-14928911.884999998,
2019-07-19,43638574.4525,14751250,22420717.4525,6466607,0.0,0,-15028821.932500003,-8241749.8975,-15715,-1149952,0,-4802202.565,-819202.47,0,28609752.519999996,
2019-07-22,105020792.2025,54329500,33321031.4525,17370260.75,0.0,0,-73764246.13100001,-37177970.145,-10774500,-2875250,-20528352.9885,-157939.18,-2250233.8175000004,0,31256546.07149999,
2019-07-23,44530244.864999995,19014250,16685313.7525,8830681.1125,0.0,0,-49056394.6125,-13207844.0875,-48250,-1081500,-32859312.5,-830505.89,-1028982.1349999998,0,-4526149.747500002,
2019-07-24,32056055.1198925,18479000,9220675.6075,2108882.025,2247497.4873925,0,-17177350.400000002,-8266625.7725,-4343270.25,-1144365.085,0,-3163111.03,-259978.2625000002,0,14878704.719892498,
2019-07-25,56471473.25,28807000,17670416,9994057.25,0.0,0,-93065457.11749999,-6625891.845,-230083.5,-1484248,-24407775,-57416767.035,-2900691.7375,0,-36593983.86749999,
2019-07-26,43352021.15500001,17735500,19591871.01,6024650.1450000005,0.0,0,-58652608.891213,-17840074.1175,-10312000,-1427250,-23119.823712999998,-27075500,-1974664.9499999993,0,-15300587.736212991,
